"id","name","longname","alpha","code","code_two","my_train_code","anglia_code","national_rail_code"
298,"BIRCHWOOD","Birchwood Rail Station","\N","BWD","BIRCHWD","64d8e9cb-fb71-4f7f-b94f-f53b5b27eaca",NULL,NULL
299,"BIRDHILL","\N","\N","BIH","CATZBIH","",NULL,NULL
300,"BIRKBECK","Birkbeck Rail Station","\N","BIK","BIRKBCK","1fc99ff8-a8c7-47cd-9dfc-87c94db04e69",NULL,NULL
301,"BIRKDALE","Birkdale Rail Station","\N","BDL","BKDLE","5f7210f0-07c0-4bc5-abb0-871643603eff",NULL,NULL
302,"BIRKENHEAD 12 QUAYS","\N","\N","BKI","BRKNIOM","",NULL,NULL
304,"BIRKENHEAD HAMILTON SQUARE","Birkenhead Hamilton Square Rail Station","HAMILTON SQUARE BIRKENHEAD","BKQ","HAMTSQ","2c4ddab8-4838-42ab-a9e8-9bf9710bafd1",NULL,NULL
305,"BIRKENHEAD NORTH","Birkenhead North Rail Station","\N","BKN","BRKNHDN","fbce6f5b-4d43-4f1a-a754-e97022421496",NULL,NULL
307,"BIRMINGHAM BORDESLEY","Bordesley Rail Station","\N","BBS","BRDS","1baf2afe-4006-4f44-b010-905c7349817d",NULL,NULL
308,"BIRMINGHAM INTERNATIONAL","Birmingham International Rail Station","BIRMINGHAM AIRPORT","BHI","BHAMINT","aaca6bbe-b192-4ec9-b452-885bd33f0b8c",NULL,NULL
311,"BIRMINGHAM SNOW HILL","Birmingham Snow Hill Rail Station","SNOW HILL (BIRMINGHAM)","BSW","BHAMSNH","e2929bbf-1f94-4a2f-a214-47f0ef700701",NULL,NULL
314,"BISHOPBRIGGS","Bishopbriggs Rail Station","\N","BBG","BSHB","7aa18358-da4b-4e9f-a725-39ae482d47aa",NULL,NULL
